,Spot Size (µm),Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238 age_mean,Final Pb206/U238 age_2SE(int),Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235 age_mean,Final Pb207/U235 age_2SE(int),Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206 age_mean,Final Pb207/Pb206 age_2SE(int),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
BRc_grain_107_3,75,3.124266364,0.198366649,8926.371275,248.4734927,357.7704021,20.71555585,5934.673925,48.58221411,0.844891157,0.006173142,4947.484891,9.127565106,0.343972848,0.015591621,,0.997557743,0.270987031
BRc_grain_107_4,75,2.560035686,0.158927694,8045.428329,247.685732,298.3408367,20.25885832,5730.72273,51.26581325,0.835547072,0.004161837,4958.571266,5.578056167,0.414426472,0.019513173,,0.99843848,0.008912215
BRc_grain_107_5,75,2.624176689,0.16108665,8151.747343,252.9872526,305.2552751,20.3182153,5752.261451,52.94068659,0.834329135,0.00499799,4950.499982,7.045308114,0.408897047,0.019878885,,0.997418489,-0.004024204
BRc_grain_107_6,75,2.373248033,0.095009859,7753.294609,165.6045165,269.555364,10.14743682,5663.164224,34.55155463,0.833529036,0.009047413,4916.019491,12.86249274,0.438579299,0.01580298,,0.986389801,0.185056856
BRc_grain_107_7,75,2.526522843,0.141455644,7961.498299,226.6372881,290.3584804,16.46522149,5713.804917,48.32058584,0.835204858,0.004496668,4953.570703,5.795270201,0.423680901,0.019860679,,0.997378551,0.090878723
BRc_grain_107_8,75,2.520875905,0.184592648,7870.774557,268.3388367,288.274111,21.66925689,5691.431153,59.64346752,0.830087123,0.004795911,4947.958441,7.001966381,0.435432917,0.022233507,,0.99878831,-0.106634662
BRc_grain_107_9,75,2.400863858,0.109683908,7809.096926,202.9005336,274.4521005,12.03659938,5674.416109,38.93659235,0.839702091,0.015536846,4861.64572,22.08949965,0.435376845,0.019820266,,0.975414029,0.44689726
BRc_grain_107_10,75,2.829749802,0.251284273,8416.047304,379.7945943,326.6483976,28.71884052,5806.17033,76.43757424,0.846769702,0.013860056,4889.365251,16.67891828,0.415946757,0.026767774,,0.993503238,0.266647728
BRc_grain_107_11,75,2.77453398,0.148956361,8423.402497,203.0415708,322.2445901,19.51576496,5822.574622,44.29300805,0.831671325,0.006381094,4933.674327,8.508560817,0.376867216,0.01448051,,0.996253428,0.100572137
BRc_grain_108_1,75,2.367060466,0.124646906,7695.738252,200.169118,263.1556299,14.3645865,5621.466293,43.80153337,0.808116769,0.005801121,4920.289432,8.774843047,0.441764298,0.019388323,,0.997767444,-0.068281207
BRc_grain_108_2,75,2.277918841,0.127615066,7509.611646,209.2974471,254.0077689,14.86318902,5580.137339,46.37764306,0.809227572,0.005792789,4918.447317,8.246307196,0.462446869,0.019837873,,0.996730391,-0.085492964
BRc_grain_108_3,75,2.396275463,0.153045552,7687.165225,244.4802293,263.9562341,16.0527311,5626.850589,54.8127252,0.809680804,0.005871675,4919.966555,8.819643937,0.451286824,0.022028778,,0.99648225,0.045266873
BRc_grain_108_4,75,1.877254861,0.105901232,6685.994106,196.4071883,206.5084825,12.10917588,5372.442849,45.38269106,0.799146932,0.005794952,4909.131671,8.539429615,0.557236412,0.024956696,,0.997049927,-0.069297684
BRc_grain_108_5,75,1.880149767,0.1346494,6627.209089,237.8138575,202.3107699,14.19024751,5342.647899,55.7611648,0.792474832,0.00648973,4895.822177,10.60589904,0.577749628,0.027619542,,0.997713597,-0.157404643
