,Final Pb206/U238_mean,Final Pb206/U238_2SE(int),Final Pb206/U238_prop2SE,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb207/U235_prop2SE,Final Pb207/Pb206_mean,Final Pb207/Pb206_2SE(int),Final Pb207/Pb206_2SE(prop),Final U238/Pb206_mean,Final U238/Pb206_2SE(int),Final U238/Pb206_2SE(prop),rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
LRa02_grain_42_3,2.69431,0.0864223,0.247238,301.359,9.39515,28.5347,0.81356,0.00657778,0.00657778,0.383256,0.0116359,0.0332879,0.967787,0.130977
LRa02_grain_42_4,6.5824,0.0569469,0.563357,740.377,8.14179,66.3906,0.822127,0.00345338,0.00345338,0.151498,0.00126041,0.0124688,0.865327,0.283239
LRa02_grain_42_5,5.11838,0.0621212,0.439866,570.288,6.99964,51.1774,0.816027,0.0037274,0.0037274,0.195538,0.00237197,0.0167954,0.902573,0.335003
LRa02_grain_42_6,5.61208,0.0494551,0.482463,621.93,3.81648,55.5453,0.813513,0.00395639,0.00395639,0.178194,0.00154281,0.015051,0.698587,0.505291
LRa02_grain_42_7,6.63463,0.0711482,0.569664,736.875,8.56808,66.0841,0.815424,0.00293786,0.00293786,0.150806,0.00163619,0.0131005,0.914964,0.386943
LRa02_grain_42_8,6.85306,0.0499469,0.58902,756.692,4.72374,67.7044,0.812839,0.00365979,0.00365979,0.145893,0.00106424,0.0125505,0.693233,0.428178
LRa02_grain_42_9,7.33191,0.0672014,0.631048,818.275,6.07984,73.1661,0.815333,0.00312517,0.00312517,0.136108,0.00130587,0.0122627,0.798194,0.277194
LRa02_grain_43_1,5.00416,0.0780718,0.435036,571.786,10.3309,52.0283,0.81482,0.00545055,0.00545055,0.210507,0.00337018,0.0187795,0.907006,0.195301
LRa02_grain_43_2,3.66516,0.106962,0.330359,418.969,12.864,39.412,0.807564,0.00841542,0.00841542,0.290029,0.00865768,0.0267399,0.936891,0.0951261
LRa02_grain_43_3,3.12131,0.0766926,0.278891,353.276,9.56076,33.0036,0.8053,0.00995789,0.00995789,0.337647,0.00848268,0.0308471,0.887324,0.109804
LRa02_grain_44_1,2.14164,0.0219646,0.188922,229.764,2.57291,20.9556,0.768031,0.00402969,0.00402969,0.480566,0.00497165,0.042762,0.819411,0.417501
LRa02_grain_44_2,2.3646,0.0242502,0.212124,250.545,2.40907,23.2534,0.760421,0.00453274,0.00453274,0.43003,0.00432017,0.03779,0.785757,0.519992
LRa02_grain_44_3,2.24541,0.0232196,0.181319,237.086,2.42806,19.9676,0.761231,0.00416989,0.00416989,0.449205,0.00456605,0.0356559,0.800037,0.292314
LRa02_grain_44_4,3.652,0.0608568,0.343626,373.499,6.37964,36.6825,0.753617,0.0044787,0.0044787,0.303496,0.00489765,0.0276544,0.936497,0.11521
LRa02_grain_44_5,3.7279,0.0328831,0.339272,383.543,3.57282,34.8482,0.76048,0.00409087,0.00409087,0.304788,0.00264647,0.027305,0.725327,0.536208
LRa02_grain_44_6,4.14578,0.0361131,0.347596,418.882,4.11764,36.216,0.749151,0.00427535,0.00427535,0.282909,0.00247858,0.0238568,0.760365,0.374197
LRa02_grain_44_7,3.77458,0.0375723,0.308261,386.498,4.14786,33.163,0.75975,0.00420197,0.00420197,0.319134,0.00324132,0.0265933,0.805198,0.352949
LRa02_grain_44_8,3.46726,0.0567151,0.293354,348.835,6.41316,30.9214,0.744621,0.00440886,0.00440886,0.356704,0.00614355,0.0317769,0.931912,-0.181154
LRa02_grain_44_9,4.22209,0.0373493,0.371277,438.248,3.92506,40.2497,0.76825,0.00453681,0.00453681,0.296514,0.00261605,0.0260053,0.717675,0.446103
LRa02_grain_45_1,8.34966,0.280601,0.76672,879.749,34.2274,85.4551,0.779458,0.0146336,0.0146336,0.155434,0.00607612,0.0166025,0.769076,0.108781
LRa02_grain_45_2,9.6801,0.648792,1.05185,1043.32,68.6251,115.603,0.795598,0.0168975,0.0168975,0.140263,0.00625403,0.0101393,0.981458,0.372312
LRa02_grain_45_3,9.67944,0.148014,0.82874,1058.66,18.9846,95.5889,0.800615,0.00435558,0.00435558,0.129776,0.00208476,0.0116727,0.884086,0.141985
LRa02_grain_45_4,7.74956,0.291155,0.714182,831.279,31.345,79.5261,0.780546,0.00573484,0.00573484,0.164958,0.00558254,0.0136935,0.96267,-0.00258718
LRa02_grain_45_5,6.70056,0.321172,0.646973,718.964,36.8301,72.9614,0.775812,0.00495552,0.00495552,0.194982,0.00921658,0.018566,0.993624,-0.660275
