Grain,Al,Al_se,Ba,Ba_se,Ca,Ca_se,Cl,Cl_se,Cr,Cr_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se
LRa01_grain_26,0.0011884219949958412,1.990199184743139e-06,,,0.00029295054067198173,1.3272266937451318e-06,,,,,0.29015720165402376,1.3030048082471638e-05,,,,,0.009566350999328432,2.9949231934148438e-06,,,0.6153387916945889,1.6492237163148756e-05,,,,,0.0014519164769441985,1.916278651256314e-06,0.07862268977776503,5.268792088055493e-06,0.003381676861681728,2.0991986352355306e-06,,,,
LRa01_grain_27,0.007108558423955328,4.050107162888707e-06,,,0.000746542781264094,1.3718357589331369e-06,,,,,0.3598711176508477,1.2044031151540374e-05,0.0009973655772014724,1.3843139843824008e-06,,,0.0012016451306694318,1.969661752719691e-06,,,0.6088042259058034,1.3002928972353048e-05,,,,,0.015038981210783843,3.904697885812436e-06,0.005879738618490518,2.2810944515900202e-06,0.0003518247009842971,2.1151115381008812e-06,,,,
LRa01_grain_28,0.002501433991420031,4.17601643952295e-06,,,0.0003854596668549644,1.4466856298249981e-06,,,,,0.3881366891508346,1.267909092225845e-05,,,,,,,,,0.5993410756359384,1.3288341265261972e-05,,,,,0.008646133717251253,4.015367094046858e-06,0.0003857756507179216,1.1612585438966816e-06,0.0006034321869827969,1.0997723812908494e-06,,,,
LRa01_grain_29,0.0032590690565146877,1.6573331732899643e-06,,,,,,,,,0.1214849258348963,8.074320870812421e-06,0.001604658202866876,1.1753833150807309e-06,,,,,,,0.6711065596186137,1.790442405372933e-05,,,,,0.006255634639936082,1.6561312724834615e-06,0.1962891526471724,1.121626370732045e-05,,,,,,
LRa01_grain_30,0.004924079293551523,4.198439676491992e-06,,,0.00039269822278780185,1.45035047740704e-06,,,,,0.3899150154340702,1.3412126979398182e-05,0.0003229086357309011,1.4865080812303392e-06,,,0.000689253013163869,2.074709947577471e-06,,,0.5940724324742731,1.3960275964554519e-05,,,,,0.007879646042506917,4.0579020989548995e-06,0.0011221136859801283,1.207468934352031e-06,0.0006818531979356074,1.156685388049587e-06,,,,
LRa01_grain_31,0.005831739359083705,4.023531811417334e-06,0.0002850774374156673,1.2171121136098755e-06,0.0006044385005563378,1.3593196244439275e-06,,,,,0.3588706706801163,1.1990442467796338e-05,,,,,,,,,0.6219876124758457,1.2522287581817087e-05,,,0.0035874714083166817,1.728584715229338e-06,0.008832990138665595,3.954017885620412e-06,,,,,,,,
LRa01_grain_32,0.007005700873216181,4.173394718415656e-06,,,0.001082837862615006,1.4076280395201784e-06,0.0004367722557905956,1.6040470586817824e-06,,,0.36527773326957275,1.2229967534743185e-05,0.0007941130852522435,1.4305796900261188e-06,,,0.0016904495188623993,2.0508454766800613e-06,,,0.5999934151963854,1.3244933923314682e-05,,,,,0.017090647575537934,4.0301574458625545e-06,0.006079734264700927,2.355779142090572e-06,0.0005485960980664581,2.231092071217898e-06,,,,
LRa01_grain_33,0.00920772710380477,4.07630611824643e-06,,,0.0015847048700333047,1.3650096080798968e-06,,,,,0.3606559617195932,1.1959729981930987e-05,0.0012380879540305593,1.427405266009839e-06,,,0.0009949583171782947,2.0159667175024253e-06,,,0.6002468995666019,1.3238326804365158e-05,,,,,0.018881789859429007,3.869285248707222e-06,0.00665173794271897,2.3102586497203244e-06,0.0005381326666100802,2.1881245621269455e-06,,,,
LRa01_grain_34,0.0035523149535684386,4.178196752816051e-06,,,0.0006179234470441327,1.3810496384417515e-06,0.00035145723825034025,1.6047552267578305e-06,,,0.38078405209086796,1.2360224101999238e-05,,,,,0.001572851185945569,1.9852070141845476e-06,,,0.5993092751177066,1.316225044786009e-05,,,,,0.012781531542314714,4.0470360809303835e-06,,,0.0010305944243022317,1.1009700245243414e-06,,,,
LRa01_grain_35,,,,,,,,,,,0.39747560535207876,1.279255465416499e-05,,,,,,,,,0.6000529661243168,1.2862112074187856e-05,,,,,0.0018836194451798086,1.9998228415619933e-06,0.0005878090784246093,1.1907460286526198e-06,,,,,,
LRa01_grain_36,0.008873971561768803,4.174331523622854e-06,,,0.0013763620092980284,1.3942315829601008e-06,,,,,0.355402423239359,1.2238916980044048e-05,0.0003939930327921729,1.4023042581754683e-06,,,0.0017306571742801934,2.084544572511385e-06,,,0.6023575714039396,1.3429168344209242e-05,0.0005939751030269443,1.7747199504449204e-06,,,0.023175922886870648,3.990662396400211e-06,0.005195438418558741,2.3389099197444355e-06,0.0008996851701058594,2.1986720182695116e-06,,,,
LRa01_grain_37,0.001999125821452563,4.080546161136124e-06,,,0.00044830364798040365,1.3792875699414439e-06,,,0.004793486990362888,2.0977608669684875e-06,0.3581325112617585,1.2760449925700253e-05,,,,,,,,,0.6091770647291935,1.3898856120507833e-05,,,,,0.00384832665902363,1.9180883817903673e-06,0.02089632883389965,2.3538593774798378e-06,0.0007048520563289171,2.192935929659393e-06,,,,
LRa01_grain_38,0.006293641697807477,3.773395043944314e-06,,,0.00027657373814210734,1.2633510927706254e-06,0.00031212342845433,1.432711637716454e-06,,,0.29070157737710495,1.2344073494939946e-05,0.0002858995248263759,1.2909008115916121e-06,,,0.0018730484867966772,1.8654801766201197e-06,,,0.6338959260608867,1.522961047134511e-05,,,,,0.001088605825032655,1.7775133062734624e-06,0.063635921366508,4.727192515184275e-06,0.0016366824944407052,1.980035425183262e-06,,,,
LRa01_grain_39,0.008025711016487297,4.056503884529604e-06,,,0.002399237926835848,1.3865143102316074e-06,,,,,0.36172797591614714,1.1864858975401176e-05,0.0003088814126484392,1.3814891959661653e-06,,,,,,,0.6153067674434535,1.2731156122240663e-05,0.0010680370430537559,1.7571949566417712e-06,0.003092684147923689,1.7156220879430896e-06,0.006739468934745618,3.8266384982755504e-06,0.000563706035947069,1.1368464409603443e-06,0.0007675301227575964,1.0975210554195866e-06,,,,
