Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Sr,Sr_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se,Ba,Ba_se,Cr,Cr_se,Ni,Ni_se
BRe_grain_101,0.3422936243756858,0.0003316429484404828,1.0982463622293086,0.0002237215648709016,,,35.09612290875692,0.0013307184824398887,0.0332229975641026,0.00016730561720649042,,,,,,,60.57001798548849,0.001458779956713481,,,,,1.409372932483925,0.00034806600060519055,,,1.2548346949775255,0.00023513102485838897,0.19588849412403567,0.00019075106308268699,,,,,,,,,,
BRe_grain_102,0.04304416479285629,0.00031661697514882414,0.012743868366860327,0.00014909383467788396,,,37.80255715454385,0.0013103974999912214,,,,,,,,,61.457705815381416,0.0013589195593937207,,,,,0.6676089331831108,0.0003073094509366354,,,0.008439568626484746,0.00013299329486487834,0.007900495105418931,0.00012840237948882568,,,,,,,,,,
BRe_grain_103,0.7871362427773442,0.0003515939368299761,0.16783895769441431,0.0001574219472758455,,,32.920617603548614,0.001295583891237482,,,,,0.16521709700296908,0.00020434620457656304,,,62.43502958379177,0.0014513651902186148,,,,,0.5359462744257082,0.0002822775525980413,,,2.901877888589089,0.0002995335794698205,0.08633635217009217,0.00018931410675682064,,,,,,,,,,
BRe_grain_104,0.4728860637153165,0.00031023793788402163,0.10682223412827481,0.00014127874290869986,,,22.261270904984585,0.0012122058468960523,,,,,0.7424176385477735,0.00023467028933285417,,,65.34565615173365,0.0017697302208599926,,,,,0.6110513266335799,0.0002635194830493011,,,10.192693629226454,0.0006492847690861716,0.2672020510303674,0.0002400088786571645,,,,,,,,,,
BRe_grain_105,0.3929633280435803,0.0003496480864306282,0.20754292284938125,0.00017723802784070053,,,36.508351800766384,0.001411504246700962,,,,,,,,,60.20323057561811,0.0015350519923239103,,,,,0.6221987570274303,0.0003092452649427945,,,1.5817625405492424,0.0002597005895297793,0.48395007514587024,0.00021218917275457654,,,,,,,,,,
BRe_grain_106,0.961100293545601,0.0003615058091749272,0.07478772339451209,0.00014740114650558487,,,29.512147271159133,0.0012586017287953496,0.02760204448826893,0.0001520821995817548,,,,,,,64.40162419656804,0.0014776259654655718,,,,,0.28790208169018827,0.00025827886705465303,,,4.419911914323031,0.0003595586255891651,0.21788733648918668,0.00020475872421245697,,,0.0970371383420513,0.0002996410277173091,,,,,,
BRe_grain_107,0.3577423803497068,0.0003156703359392287,0.08429231083591085,0.00015483335941234881,,,29.48019512558757,0.0013434754495964176,,,,,0.2467435849037752,0.00020572773637948035,,,63.766128158690286,0.0015962496543776776,,,,,0.233431709586108,0.00025944664701380146,,,5.212959752681737,0.00039579409934833754,0.618506977364905,0.00023172103669375906,,,,,,,,,,
BRe_grain_108,0.8385894690366401,0.00037421364302446205,0.32207734524265796,0.00017586377952897336,,,33.82269392623991,0.0013997165566843445,,,,,0.12505873632873446,0.00020676929367688027,,,61.758701544929394,0.0015567174428546963,,,,,0.4862622300926585,0.00029276981424911997,,,2.1428062799694128,0.0002799462078810917,0.5038104681605923,0.00021612343044443016,,,,,,,,,,
BRe_grain_109,1.2319711985185995,0.00038543782598587803,,,,,33.88475641316191,0.0012812853687071521,,,,,,,,,62.12675021317956,0.0013922488544611804,,,,,0.0977443685937015,0.00025262850815534107,,,2.1609637054335535,0.00027187977976511976,0.49781410111266977,0.00020381519098102972,,,,,,,,,,
BRe_grain_11,1.2865506968083564,0.0004058417154564582,0.12599016530722743,0.0001324596929721695,,,33.22954076799375,0.001110188467002555,0.07566385664536546,0.00013444249881865906,,,0.09729293391694256,0.0001987622931604317,,,62.77467198746447,0.0012278012474985418,,,,,2.15614104705024,0.0003814939011521529,,,0.25414854481365295,0.00011203799345514275,,,,,,,,,,,,
BRe_grain_110,0.6004345981038175,0.00027819769172174693,4.002264542862388,0.00033180291212782137,,,18.32440855812229,0.001042948225046922,,,,,0.08884215351984737,0.0001769567139824925,,,64.56282157651373,0.0017597218789850032,,,,,4.4913547143670085,0.0004401780903551503,,,7.723029078075882,0.000524472037781057,0.20684477843503501,0.00022062778852805133,,,,,,,,,,
BRe_grain_111,0.09301711236941147,0.0003003349772572122,0.06553080284917655,0.0001360676524454613,,,28.577966800188452,0.0010371913332449423,,,,,,,,,67.3848084045927,0.0011629976262399133,,,,,3.8365363256204583,0.000412509711534246,,,0.042140554379805094,0.00013173254610099962,,,,,,,,,,,,
BRe_grain_12,0.44657233475430946,0.0004735354497579204,0.07061570379527456,0.00016159876415258178,,,41.861195470171225,0.0013908262770128213,,,,,,,,,56.45414630415444,0.0014320187687286508,,,,,0.7966271569950828,0.00022662823754490295,,,0.37084303012966197,0.00013161051570299078,,,,,,,,,,,,
BRe_grain_13,,,,,,,40.914975758830394,0.0012798224098082014,,,,,,,,,58.340859703968995,0.0013002787181996846,,,,,0.7441645372006213,0.00021741477280260379,,,,,,,,,,,,,,,,
BRe_grain_14,0.48086809894665045,0.00044615154829150995,0.057948653599513414,0.00015074423332487886,,,39.642294714076094,0.001293253201050944,,,,,,,,,58.965726202575865,0.0013221182490288526,,,,,0.6865006659297875,0.00021873536595631323,,,0.16666166487209816,0.00012618384310642873,,,,,,,,,,,,
BRe_grain_15,0.25366489218546695,0.00020784734787325756,0.03095014863356381,0.00014137603909940508,,,31.87024976614851,0.001029151626023415,,,,,0.09039751222518823,0.00021042891099014825,,,66.02705223760697,0.0011130784424942903,,,,,1.7276854432003081,0.00039916494772819543,,,,,,,,,,,,,,,,
BRe_grain_16,0.6284268291223946,0.0004158275051681705,,,,,35.75029329842387,0.0012180978190174424,0.4651065735677009,0.00014223892266212456,,,,,,,61.72331848982504,0.0012941015407361982,,,,,1.0210334575183038,0.0004053666027542104,,,0.411821351542689,0.00023362786426432637,,,,,,,,,,,,
BRe_grain_17,0.49232603969273847,0.0004291925944283319,0.17772371525974187,0.00014460930754580414,,,36.65945548047762,0.0011617623890705735,,,,,0.3893651615631662,0.00021193038440571566,,,60.343778587928384,0.001251678096155163,,,,,1.6258708994463917,0.0004116325489599611,,,0.31148011563195577,0.00012421024975813014,,,,,,,,,,,,
BRe_grain_18,0.5770868858413034,0.00044567017222005756,0.04115473852581499,0.00015242797968431106,,,39.00502788139784,0.0012483651039830494,0.03390286974784906,0.0001509463477148702,,,,,,,59.231362018915824,0.0013184922322818998,,,,,0.8487115348875992,0.000423332638573943,,,0.2627540706837745,0.00012682725875527923,,,,,,,,,,,,
BRe_grain_19,0.06113472948011154,0.00022199706211590447,,,,,40.022971221233426,0.0012312532551290007,,,,,,,,,59.36429772585461,0.0012487475666459681,,,,,0.5515963234318467,0.00021745376466353862,,,,,,,,,,,,,,,,
BRe_grain_20,0.4763243018091481,0.0004352096357942266,0.11235162683908892,0.00014454175074783603,,,37.11782288401423,0.0012923201767455553,0.02457623181226184,0.0001469327066282799,,,0.11092812823898579,0.00021555529289218485,,,60.231699243168165,0.001393908179898218,0.06190628615498015,0.0001877799837308732,,,1.4751698287875323,0.0004110397021946508,,,0.38922146917560513,0.00024025533102130958,,,,,,,,,,,,
BRe_grain_21,,,,,,,39.475638098212976,0.001164537510006373,,,,,,,,,60.259098246320384,0.001176286022622,,,,,0.2652636554666356,0.0002061007300388928,,,,,,,,,,,,,,,,
BRe_grain_22,0.3016063652644564,0.0004000623643466429,,,,,31.52433528467369,0.001230715818738195,,,,,0.434437051849764,0.00019350584673080744,,,62.327210129082886,0.0014105644012726434,,,,,0.3108557934219013,0.00019003630279523895,,,5.101555375707303,0.0003613567674010878,,,,,,,,,,,,
BRe_grain_23,0.7246477386228916,0.0004022275222778149,0.11244602635175156,0.00013695597555390683,,,35.07824088450025,0.001153656053411218,,,,,0.1315374322637772,0.00020349624503237986,,,61.36417701299726,0.0012649408430502132,,,,,1.6062326762166124,0.00037740948451267753,,,0.9294780990720786,0.00023268366065725408,0.05324012997537966,0.00021633945678587891,,,,,,,,,,
BRe_grain_24,0.058404120253637774,0.0002121167876994234,,,,,40.26009964978856,0.0011980789260911731,,,,,,,,,59.46500183129092,0.001214312778770572,,,,,0.11174088682047299,0.0002074046834371821,,,0.10475351184641303,0.00012043940139653688,,,,,,,,,,,,
BRe_grain_25,0.35153421864685963,0.0004003807971189458,,,,,30.9027604254958,0.001089981410953804,,,,,0.1188266592040679,0.0001957432557563638,,,66.95690444596842,0.0011775974544299696,,,,,1.6699742506848672,0.00038025954605238964,,,,,,,,,,,,,,,,
BRe_grain_26,,,,,,,39.22162484644075,0.0012763108184588115,,,,,,,,,60.221799168197364,0.0012921259672294789,,,,,0.5177676284359719,0.00019539766513848456,,,0.03880835692590464,0.00011782956235479722,,,,,,,,,,,,
BRe_grain_27,,,,,,,38.840880523766565,0.0012538813709771306,,,,,,,,,60.68793863581043,0.001268790342791343,,,,,0.38147326884180827,0.00019840101602435652,,,0.08970757158119143,0.00011595572908773747,,,,,,,,,,,,
BRe_grain_28,0.15658591194092253,0.000407194852015052,,,,,37.702328582299955,0.0012287416761909064,,,,,0.2968687743513115,0.00020021599796695268,,,60.74468015124176,0.0012809570333497235,0.13618045182799177,0.00017576225156326703,,,0.8814016838729314,0.00039430487185771514,,,0.08195444446513739,0.00011433151721135544,,,,,,,,,,,,
BRe_grain_29,0.4084532589567471,0.0003830390871709796,,,,,32.8139106268478,0.0011344735838978793,,,,,0.09773062642133926,0.00019314609869162459,,,63.09084922549633,0.001258851926358093,,,,,0.43231828390211763,0.00018627286007773434,,,2.7795050542116337,0.00032646128593225894,0.37723292416404514,0.00020644828983366515,,,,,,,,,,
BRe_grain_30,0.9956899454459134,0.0004006248089960747,,,,,37.34984765265076,0.0012637059322011001,,,,,0.10585446694822706,0.0002005610710262361,,,60.128201093742916,0.0013487289326987442,,,,,1.2484310318327574,0.00039991135256236664,,,0.1719758093794245,0.00011835383588181949,,,,,,,,,,,,
BRe_grain_31,0.12492366997767597,0.0004149378012923768,,,,,38.87158501765085,0.0012740489587070513,,,,,,,,,60.33681942901153,0.0013218182956250284,,,,,0.6661493780189977,0.0003921336380351968,,,0.000522505340955491,2.96570233546662e-05,,,,,,,,,,,,
BRe_grain_32,0.23191238423661592,0.0003885603299770594,,,,,28.677811340805903,0.0012296965942451548,,,,,0.5125626145819298,0.00018784908986386946,,,63.3045996250959,0.0014882385329036947,,,,,0.17177766944354034,0.00018479352126214504,,,6.772060769846176,0.0004785519407556002,0.329275595989931,0.00020266350147120355,,,,,,,,,,
BRe_grain_33,0.12813855536814522,0.0004144972444090822,,,,,39.87340711262314,0.001289448376805146,,,,,,,,,59.50313011796142,0.0013242120681704686,,,,,0.20062945726598067,0.00020373684026834518,,,0.2946947567813049,0.0001185363661682909,,,,,,,,,,,,
BRe_grain_34,0.6621020128827966,0.00040893252199074266,,,,,38.93092980173057,0.0013012353108499291,,,,,,,,,59.50050714514566,0.0013468918981551048,,,,,0.7818081820392312,0.0004088689064267926,,,0.12465285820172117,0.00011821068072231534,,,,,,,,,,,,
BRe_grain_35,,,,,,,40.695629160007734,0.001206070512679783,,,,,,,,,58.892558938738595,0.001216757564189085,,,,,0.11302977704350885,0.0002099851069452705,,,0.29878212421015665,0.00012357583709552856,,,,,,,,,,,,
BRe_grain_36,0.407526150581942,0.0003916384347720248,,,0.033401984633371566,0.00015327959360600138,35.09190482235536,0.0011775589373823779,,,,,0.13538596637757497,0.00019613314556594962,,,62.11421411104693,0.00126719703610671,,,0.11122641358603327,0.00016807008723717084,1.650837220163928,0.000390521948596175,,,0.3971497212612784,0.00022761831002153353,0.05835360999358661,0.0001064164017135307,,,,,,,,,,
BRe_grain_37,,,,,,,15.912426713140823,0.001025169424504202,,,,,0.6181201159080416,0.00018171191302027577,,,64.39700750339206,0.0019347340361581648,,,,,,,,,19.07244566755907,0.0011115644715415647,,,,,,,,,,,,
BRe_grain_38,0.2831682508738485,0.00019314791511140884,,,,,27.125927092498326,0.0012394615211080997,,,,,0.9785560847284022,0.0002809846603857526,,,62.97787284041819,0.0015804457471447623,,,,,0.10076419400424155,0.00018331026712550575,,,8.316654331469591,0.0005038403275372008,0.21705720600740078,0.0002029041859919325,,,,,,,,,,
BRe_grain_39,1.144726217216614,0.0004026253804689689,,,,,35.542614392238455,0.0012864841453662447,,,,,0.12019023513753163,0.0001952030181132621,,,60.43982333394765,0.0014079244004862963,,,,,0.18163854464253484,0.00019433459011200567,,,2.1235602323018297,0.00023562093926845714,0.4474470445153871,0.0002126918301367562,,,,,,,,,,
BRe_grain_40,0.721647821598989,0.0004360263586745956,,,,,36.8158858401894,0.0013104263944909394,,,,,0.18904480647544022,0.00021749587434239268,,,59.35115595929877,0.0014174051766755189,,,,,2.8091110195800937,0.0004242446869867813,,,0.07471442441985954,0.00012540029573381082,0.03844012843744854,0.00011630729377006132,,,,,,,,,,
BRe_grain_41,1.1768874474717843,0.00042942603647255783,,,,,37.87312435267107,0.0013071803234885613,,,,,,,,,58.992002923252315,0.0013908679694636886,,,,,1.7598285268568232,0.0004101876063919374,,,0.1475261061841726,0.00012267240531820163,0.05063064356383325,0.00011552133197905355,,,,,,,,,,
BRe_grain_42,,,,,,,30.908790533043508,0.001306186583786264,,,,,0.18095743293495126,0.00019132808860273975,,,61.930711568760785,0.0015206163530185435,,,,,,,,,6.531567859301337,0.00040078256461574313,0.4479726059594223,0.0002077377808450986,,,,,,,,,,
BRe_grain_43,0.5205274802951365,0.00042637578513849133,,,,,37.734997726347004,0.0013122738629391935,,,,,0.0850105501521051,0.0002074035929525512,,,59.7904611034874,0.0013865200725849036,,,,,1.4325308767257747,0.00039931933158153705,,,0.4364722629925752,0.0002348897274842141,,,,,,,,,,,,
BRe_grain_44,,,,,,,39.013152680326996,0.0012689153072248463,,,,,,,,,60.43111081867609,0.001282102426097558,,,,,0.49171276523411284,0.00020231420133048341,,,0.06402373576278662,0.00011874506280378146,,,,,,,,,,,,
BRe_grain_45,0.09996741446663991,0.00041082091313676596,,,,,38.44933687175362,0.0012238509663410775,,,,,,,,,60.74887951206909,0.001269798603394855,,,,,0.6640861669481212,0.00038749509119292026,,,0.03773003476251834,0.00011465713858945973,,,,,,,,,,,,
BRe_grain_46,0.058431782952553094,0.0002093805966859121,,,,,40.2007492978767,0.0012982370912787455,,,,,,,,,59.40357039323789,0.0013017397794371415,,,,,0.3127235736070721,0.00020564225671894877,,,,,0.02452495232577779,0.00011124914347546712,,,,,,,,,,
BRe_grain_47,0.4538061298291463,0.00040814851989119926,,,,,37.94218716554242,0.00127016951131316,0.18783068162289124,0.00014385344472358616,,,,,,,60.420769552311704,0.0013228791133827668,,,,,0.7843791760708948,0.0003965322142672612,,,0.21102729462293351,0.00011572654773575535,,,,,,,,,,,,
