Grain,Fe,Fe_se,O,O_se,Ti,Ti_se,Al,Al_se,Ba,Ba_se,Cr,Cr_se,Mn,Mn_se,P,P_se,Si,Si_se,V,V_se,Ca,Ca_se,Nb,Nb_se,W,W_se,K,K_se,Ni,Ni_se,S,S_se,Phase_Class,Cl,Cl_se,Mg,Mg_se,Zn,Zn_se,Sr,Sr_se
BRe_grain_65,0.28820356100916594,1.3294479789042575e-05,0.6261458236130562,1.6332916328660176e-05,0.07387043000431728,5.015361280516349e-06,0.001262826168100967,1.9082555142960967e-06,,,,,0.004185170447410755,1.9074299501994248e-06,,,0.0015154533828262806,1.8428526113654214e-06,0.0033995049029174247,2.0768738585924566e-06,0.0014172304722052205,1.3096328853462127e-06,,,,,,,,,,,titanohematite,,,,,,,,
BRe_grain_66,0.2629877291911684,1.2021893919371189e-05,0.6342023934528901,1.569177987369311e-05,0.08166002875142016,5.108684358683045e-06,0.009400142130308353,3.8148049649836036e-06,,,,,0.005898102665785281,1.8734948270021842e-06,,,0.0028088611030230026,1.7986347101282109e-06,0.0030427427054047313,2.0230231138280203e-06,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc02_grain_05,0.36239525577025605,1.1982645245683342e-05,0.6081668903235752,1.2990286345301814e-05,0.014927693979823716,2.3241796605585962e-06,0.004361162227505781,4.0451976079442945e-06,,,,,,,,,0.009230105220669685,3.896674539266835e-06,,,0.00045364562128823,1.3692042312148022e-06,,,,,0.00046524685688137174,1.438023448590298e-06,,,,,titanohematite,,,,,,,,
BRc02_grain_08,0.30724497611514595,1.3361755317724701e-05,0.6032161422600989,1.652623647187314e-05,0.055795629304971506,3.866860585940648e-06,0.005994693336277825,3.980594206717701e-06,,,0.0010744929844895017,2.1097356984552044e-06,0.0012868624143874254,1.956881661274674e-06,,,0.003876465122137923,1.927529252457327e-06,0.0015542324997056896,2.1281370851708298e-06,0.0005873568121276531,1.312027116347021e-06,,,,,,,,,,,titanohematite,,,0.019369149150657593,4.348663072770217e-06,,,,
BRc02_grain_11,0.339907620942276,1.2184222983326924e-05,0.6099681469659174,1.3685222340149493e-05,0.0214894719608269,2.285755097531697e-06,0.004547642863124444,3.955002559563414e-06,,,,,0.0041509646493464785,1.9091541125201585e-06,,,0.0008356714913680264,1.8801103579917036e-06,,,0.0005815393048645275,1.3176598093008662e-06,,,,,,,,,,,titanohematite,,,0.01851894182227634,4.313882215883612e-06,,,,
BRc02_grain_19,0.3360152833997391,1.27370540325443e-05,0.6016525950039396,1.4882502527811018e-05,0.016704752548910826,2.279797705252165e-06,0.008270535754987453,4.089393867535903e-06,,,,,0.0011007201156955607,2.0111220723401237e-06,,,0.023204705330964474,4.032133409478436e-06,0.0008319097999933732,2.1940365317707675e-06,0.011445673411457582,2.740417880969999e-06,,,,,0.0007738246343120388,1.3669626617635369e-06,,,,,titanohematite,,,,,,,,
BRc02_grain_20,0.3633676226170331,1.2207672308159174e-05,0.5991116203386964,1.3476661711627312e-05,0.012619456436476436,2.371572817565275e-06,0.007012635862711818,4.0733438254072395e-06,,,,,0.001003466488559533,2.0654562199119996e-06,,,0.014440207497411673,3.927155836559762e-06,0.0008366386563060966,2.194006439861772e-06,0.0012948845202113643,1.3729905144455939e-06,,,,,0.00031346758259362834,1.4017266551561294e-06,,,,,titanohematite,,,,,,,,
BRc02_grain_26,0.32025679747178093,1.1847319188346019e-05,0.6052106761154061,1.4242441676560204e-05,0.028262033445601752,2.3861624402010867e-06,0.005469013629998398,3.957572672270859e-06,,,0.011985483076088668,2.095701320396611e-06,0.0013976873626094035,2.007536994700219e-06,,,0.002102362844884422,1.964628726586333e-06,,,0.0005169013219097208,1.3564090253882944e-06,,,,,,,,,,,titanohematite,,,0.02479904473172068,6.415516381097763e-06,,,,
BRc02_grain_27,0.3781151519432742,1.2267007857912327e-05,0.6024149289732987,1.2673274268582452e-05,0.01946991908342713,2.3604300181208874e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,titanohematite,,,,,,,,
BRc02_grain_29,0.2761563341469839,1.2728279752387269e-05,0.625450160500413,1.6211782545892606e-05,0.08011931654359913,5.220189934769369e-06,0.00631888184783844,3.868268915773467e-06,,,,,0.001102781123615148,1.941518885871782e-06,0.0007457643574179829,1.76017752607512e-06,0.004218143436231398,1.8502691917425625e-06,0.0038004847349230493,2.09299730581316e-06,0.002088133308977925,1.3178739756676575e-06,,,,,,,,,,,titanohematite,,,,,,,,
