Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Cr,Cr_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se
BRe_grain_73,0.0006967667171491977,4.211676684101332e-06,,,,,,,0.39927815836075553,1.1650320139746293e-05,,,,,,,,,0.5973554117078151,1.177122733941486e-05,,,,,0.002669663214280049,2.0501619627957076e-06,,,,
BRe_grain_74,0.012340957619410866,3.960980246323708e-06,,,,,,,0.3600700497032898,1.1692601923210347e-05,,,,,,,,,0.611902061009916,1.2542068661657451e-05,,,0.0016989319068611095,1.6974871125927087e-06,0.012387229599092648,3.920300049833095e-06,0.000887497429083871,1.1578632874131893e-06,0.0007132727323457389,1.102858615645836e-06
BRe_grain_75,0.0011403499049283691,4.145361907768454e-06,0.0009992741028465966,1.3984351373608135e-06,,,,,0.37643901128097135,1.2685707478451228e-05,,,,,0.0017960872092945687,2.008591170106558e-06,,,0.6146143354933055,1.315709827488616e-05,,,,,0.004496871962503687,2.0346759587012467e-06,0.0005140700461498843,1.1818686052897306e-06,,
BRe_grain_76,0.0025158545545391022,4.185169542933414e-06,0.0004595855273249402,1.4110056772059998e-06,,,,,0.38574223194268914,1.3093874742839618e-05,,,,,,,,,0.6008714665249362,1.3638306533755317e-05,,,,,0.006251698787292234,4.007656125063263e-06,0.0037975418177396184,2.344130146479241e-06,0.00036162084547866304,1.0951063317012769e-06
BRe_grain_77,0.006402127376763995,3.815597743925853e-06,0.0007650161917874039,1.2860505565131718e-06,,,,,0.2467320468453958,1.2193212515347022e-05,,,,,0.003955964841498592,1.7973078023720953e-06,,,0.6381165561032998,1.6575547544643665e-05,,,,,0.0016872860262829535,1.8052758928893824e-06,0.09971345372841353,5.66295404344125e-06,0.002627548886557978,2.007062508837183e-06
BRe_grain_78,0.004096179421028505,4.114841749487363e-06,0.0003844562859021792,1.385320348796691e-06,,,,,0.3807427270285463,1.2544154070992637e-05,,,,,0.0020135374735817295,2.025815864096582e-06,,,0.601301200953006,1.3258327658442647e-05,,,,,0.01082247684929345,3.949755325725213e-06,0.0006394219886419292,1.1534405326198067e-06,,
BRe_grain_79,0.0023666913676738226,3.994717979492715e-06,0.001670337237611235,1.3875882593062398e-06,,,,,0.3744731954277254,1.2639674217272675e-05,,,,,0.0008317872736684022,2.001205723560599e-06,,,0.6062824773285969,1.3320342302219938e-05,,,,,0.013675506963330183,3.974389004546623e-06,0.0007000044013940999,1.1913932439473457e-06,,
BRe_grain_80,,,,,,,,,0.3908628827806656,1.2779507541775383e-05,,,,,,,,,0.6076266042652013,1.28578767738384e-05,,,,,0.0015105129541330819,1.9554622222842356e-06,,,,
BRe_grain_81,0.004365359285581479,4.112324829862117e-06,0.0014305413910404242,1.3891860020466252e-06,0.00042204531653849904,1.5599881347530399e-06,,,0.36732117377071033,1.2070889474835593e-05,,,,,0.0008241073978742994,1.9947263588565704e-06,,,0.6078618817197916,1.2723981714426831e-05,0.00039080791945604224,1.7610789901538392e-06,,,0.014629564017084122,3.916830186535305e-06,0.0023376461052321633,1.1379157759939363e-06,0.00041687307669109684,1.1103717094355092e-06
BRe_grain_82,,,,,,,,,0.3159584291239068,1.0416370682603063e-05,,,,,0.0007861636304712052,1.862621747185772e-06,,,0.673768911361413,1.087675950444843e-05,0.00037182535926543413,1.7126237400404467e-06,0.000536414530653503,1.6079930659289527e-06,0.00857825599429012,3.6097604058333504e-06,,,,
