Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Sr,Sr_se,Ti,Ti_se,V,V_se,W,W_se,Zn,Zn_se
LRa02_grain_103,0.014161384359182403,4.077164889232793e-06,0.0007053907906965057,1.638606660850103e-06,,,0.3352933225514853,1.2555963069657901e-05,,,0.015295380224813304,5.215925296237926e-06,0.001640222653886368,2.110718664327618e-06,,,0.6031398629337393,1.486815930844579e-05,,,,,0.02401475430993778,4.001377196175482e-06,,,0.005334132675753743,1.971472989992589e-06,0.00041554950050530634,1.6807912813378544e-06,,,,
LRa02_grain_104,,,,,,,0.001082700539665657,1.7437018481127372e-06,,,,,,,0.001529624626656071,1.644577444798081e-06,0.6812668126511504,3.0662017026121356e-05,,,,,0.00041404626132564754,1.8035029181003577e-06,,,0.31241801618692866,3.0008090940425768e-05,0.0032887997342735146,3.233902168109436e-06,,,,
LRa02_grain_105,0.004619961443240142,3.2609516521983435e-06,0.0008307141723568949,1.4525060843018261e-06,,,0.2960702932901393,1.1759947274589634e-05,,,0.007517224021328424,4.685568768050175e-06,,,,,0.658848792368012,1.3739349631433326e-05,,,,,0.00683768054627434,2.8561204464644852e-06,,,0.02452003103444081,2.648084557069593e-06,0.0007553031242081412,1.7488966046350018e-06,,,,
BRe_grain_96,0.0053060742948305125,3.501340471400871e-06,0.0017905153886232904,1.728576810167728e-06,0.0007685731286720421,1.7631337575243395e-06,0.3552625606681281,1.2656905739618097e-05,,,,,0.0025002844991791717,2.2024445546214858e-06,,,0.6225001163161537,1.3574716614359212e-05,0.00045860385102729353,2.2900127397174545e-06,,,0.01068987734328483,3.3368973570259313e-06,,,0.0003950460376626985,1.5996618461922475e-06,0.000328348472438362,1.628987225990298e-06,,,,
BRe_grain_100,0.004205376981009574,3.4140512900746996e-06,0.007024967647735969,2.035421130237335e-06,,,0.34717963423460546,1.3254598198839385e-05,,,,,0.0006803567780025297,2.0440534678589544e-06,,,0.6139667107033959,1.452512609818756e-05,,,,,0.012601578078327109,3.3955158025897097e-06,,,0.011272711894620542,2.2325633875099675e-06,0.003068663682302946,1.9260957558440294e-06,,,,
BRe_grain_101,0.003427975303518913,3.2697767342177037e-06,0.010979839081045585,2.275622257733189e-06,,,0.3509303812458469,1.3626837672312636e-05,0.0003324017017019324,1.6945003055918937e-06,,,,,,,0.6057358193733106,1.483583110543799e-05,,,,,0.014083366936074336,3.4225700835636907e-06,,,0.012549891361885737,2.355332345831402e-06,0.0019603249966159875,1.8904986654785267e-06,,,,
BRe_grain_102,0.0004315124652119597,3.173667450483804e-06,0.00012849657155377913,1.4651946415650746e-06,,,0.378043277347986,1.3213911213290457e-05,,,,,,,,,0.6145624058563869,1.3588150799143022e-05,,,,,0.0066710888039377865,3.017794741043709e-06,,,8.701877587327275e-05,1.3529570715366507e-06,7.620017905025918e-05,1.2553399031809162e-06,,,,
BRe_grain_103,0.007876222298233638,3.5802527171714727e-06,0.0016743731217349297,1.6333303561880872e-06,,,0.3292033726609495,1.3011433112319436e-05,,,,,0.0016551777963362655,2.047793600256376e-06,,,0.6243531768277414,1.474885031406775e-05,,,,,0.00535391349425511,2.8145733049343276e-06,,,0.02901909036185674,3.0431451862091904e-06,0.000864673438892375,1.9023623996975315e-06,,,,
BRe_grain_104,0.0047287796737639325,3.0323383888600807e-06,0.0010652635215762424,1.4462496262152205e-06,,,0.22262826296091567,1.2487519883529543e-05,,,,,0.007429933049401875,2.3456444028892596e-06,,,0.6534313916810749,1.7911363714390676e-05,,,,,0.006117618488967608,2.642358855666455e-06,,,0.10193402686243697,6.5202038682041535e-06,0.0026647237618628522,2.4085819657095343e-06,,,,
BRe_grain_105,0.003933370300086652,3.4314855641743023e-06,0.0020774347658412554,1.7708913066369024e-06,,,0.3650945348268916,1.4092930543886781e-05,,,,,,,,,0.602013120660282,1.527008156250584e-05,,,,,0.0062276866005907235,3.0866282959008725e-06,,,0.015815763839241624,2.6151993618678315e-06,0.004838089007066166,2.1319228849035244e-06,,,,
BRe_grain_106,0.009601911619298905,3.5790715488520185e-06,0.0007445666784957058,1.472636342339926e-06,,,0.29514660507874774,1.2711070745910914e-05,0.00027446804372178947,1.5236804787154667e-06,,,,,,,0.6440096257565467,1.5035886521664822e-05,,,,,0.0028776083377843945,2.550864696596542e-06,,,0.044200480868507544,3.5777735625498602e-06,0.002180349253057224,2.024581290608493e-06,,,0.000964384363839975,3.002549617975992e-06
BRe_grain_107,0.003570203393031593,3.1317712987823227e-06,0.0008434859246972125,1.494352678787421e-06,,,0.2948092969134008,1.3423083610767923e-05,,,,,0.0024671929027626407,2.071035852481162e-06,,,0.6376599397693918,1.5877412332833625e-05,,,,,0.002341128114941518,2.5826333873349644e-06,,,0.05212140114455919,4.072456165273275e-06,0.006187351837215231,2.3066616286433728e-06,,,,
BRe_grain_108,0.00839057562596013,3.662496133550729e-06,0.0032229351640874586,1.8274256731436374e-06,,,0.33822438281043543,1.3331486046815327e-05,,,,,0.0012513771634350777,2.0354963426363927e-06,,,0.617583110652893,1.4769226043439309e-05,,,,,0.004858870344122813,2.916774832796846e-06,,,0.02143697107319691,2.767092898489025e-06,0.005031777165869281,2.0754862154439617e-06,,,,
