Grain,Al,Al_se,Ca,Ca_se,Cl,Cl_se,Fe,Fe_se,K,K_se,Mg,Mg_se,Mn,Mn_se,Nb,Nb_se,O,O_se,P,P_se,S,S_se,Si,Si_se,Ti,Ti_se,V,V_se
LRa02_grain_28,0.016819396998166897,4.596094428244315e-06,0.0005936633166300382,1.5284548623843332e-06,,,0.3371613233530594,1.150071792335362e-05,0.0013097733802928616,1.5986657308843746e-06,0.01741041456733743,5.0525856555818615e-06,,,,,0.5874098923668583,1.3676474784152165e-05,,,,,0.03087959456242497,4.4310659563880135e-06,0.00841594145523009,2.5934947492107326e-06,,
LRa02_grain_29,0.008054786115332052,4.658380743650732e-06,0.0008740039938265886,1.5606762264446257e-06,,,0.38375777139670936,1.2952102681461631e-05,,,,,,,,,0.5828684598989107,1.401571080657687e-05,,,,,0.014853844421661464,4.461797212549006e-06,0.008421615968163366,2.6753041328168457e-06,0.001169518205396385,2.54595365798818e-06
LRa02_grain_30,,,,,,,0.3673835601873728,1.208485251806713e-05,,,,,,,,,0.5983064378969876,1.2610605009978154e-05,,,,,0.03403092182527506,4.218710383407981e-06,0.00027908009036454264,1.2739364709279616e-06,,
LRa02_grain_31,0.02208374389913699,4.223665279925689e-06,,,,,0.342782159416042,1.1566449039961424e-05,,,0.03873762293176905,6.948720015823135e-06,,,,,0.5657647813923204,1.3801312264144508e-05,,,,,0.024833345904482523,4.0588761644924715e-06,0.005299230258726541,2.5015357394528533e-06,0.0004991161975224618,1.1368506864024301e-06
LRa02_grain_32,0.00962430627375957,5.0296631983750586e-06,0.0004568797698405581,1.6342894603494926e-06,,,0.4014950033288811,1.4163353074217378e-05,,,,,,,,,0.5700319595825364,1.501042714145266e-05,,,,,0.015379262728628607,4.744720623084786e-06,0.002293220625242154,1.3996089897001424e-06,0.0007193676911117069,1.2975477574860607e-06
LRa02_grain_33,,,,,,,0.4015883205106802,1.311980818634665e-05,,,,,,,,,0.5887434713821109,1.3413873677299317e-05,,,,,0.009668208107208837,4.461483581929519e-06,,,,
LRa02_grain_34,0.02185959084542671,4.613647921325394e-06,0.0009521594185131286,1.5741547834358407e-06,,,0.347952335019703,1.179178388224715e-05,0.0052335637645998,1.5939902885769478e-06,,,,,,,0.5781285506534298,1.373455277622283e-05,,,,,0.039895169309146654,4.501224665903263e-06,0.005365251940862182,2.6976487039527003e-06,0.000613379048318724,1.257108575111024e-06
LRa02_grain_35,0.026067914482263168,4.2929555105614736e-06,0.0007902073736625893,1.4355547334203815e-06,,,0.2969380235526146,1.1032107571041366e-05,0.0004046452382188239,1.4463114570953992e-06,0.04210198117456578,7.047043470747457e-06,,,,,0.5885456052512217,1.43146367786658e-05,,,,,0.0392608596620436,4.211468655489593e-06,0.005890763265409862,2.399950867535033e-06,,
LRa02_grain_36,0.0016742729028486648,2.380075648194129e-06,,,,,0.40510007487591226,1.3233578950653964e-05,,,,,,,,,0.5846937854769193,1.3442616937625861e-05,,,,,0.003591367067970919,2.257696885756384e-06,0.004940499676348731,2.6762715545250516e-06,,
LRa02_grain_37,0.017083646151285218,4.588589187220567e-06,0.00042045488177858457,1.5506749063649387e-06,,,0.34223064799719327,1.2835346798378756e-05,,,0.01827940041757483,4.922176614543428e-06,,,,,0.5856546695886241,1.4892581682434535e-05,,,,,0.026597082580092437,4.259164352637313e-06,0.009139951811009326,2.5610448136403374e-06,0.0005941465724422703,1.232562127303199e-06
LRa02_grain_38,0.012081581321419753,4.551076765274782e-06,0.0005251636365694391,1.6051263666628497e-06,,,0.3783744596498794,1.2999442150033165e-05,,,,,,,,,0.5866048472376371,1.409689832724408e-05,,,,,0.018714402862454155,4.522994153668996e-06,0.003219888278539629,1.364841327540864e-06,0.00047965701350055726,1.2471515320865713e-06
LRa02_grain_39,,,,,,,0.3932779712333266,1.2173188368373232e-05,,,,,,,,,0.603288843102143,1.2261430605233882e-05,,,,,0.0034331856645303614,2.1658861059576484e-06,,,,
