Hematite_Senin_01,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
,,,,,,,,,,,,,,
LRa02_grain_83,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,10.52,0.05982,40.6046,0.1878,66.9876,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.04,0.00023,0.0548,0.0132,0.0536,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.15,0.00079,0.1385,0.0119,0.1302,,,,,Nepheline,No,9/24/2025 22:58
Ti,EDS,K series,35.69,0.32829,35.0936,0.0578,19.3376,,,,,TiO2,No,5/13/2025 18:15
Mn,EDS,K series,2.74,0.02597,3.1129,0.0307,1.4956,,,,,MnO,No,4/30/2025 17:42
Fe,EDS,K series,24.09,0.21901,25.3807,0.0695,11.9954,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,104.3852,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_84,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,11.12,0.06322,40.6274,0.1797,67.9445,,,,,hematite_elba,No,9/30/2025 17:52
Si,EDS,K series,3.66,0.01975,3.4209,0.0207,3.2589,,,,,Nepheline,No,9/24/2025 22:58
Ti,EDS,K series,30.21,0.2779,30.1511,0.0542,16.8421,,,,,TiO2,No,5/13/2025 18:15
Mn,EDS,K series,0.55,0.00519,0.6241,0.0216,0.304,,,,,MnO,No,4/30/2025 17:42
Fe,EDS,K series,22.97,0.20877,24.3174,0.0676,11.6505,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,99.1409,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_85,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,11.26,0.06406,42.3682,0.1874,68.1386,,,,,hematite_elba,No,9/30/2025 17:52
Si,EDS,K series,0.23,0.00125,0.2207,0.0123,0.2022,,,,,Nepheline,No,9/24/2025 22:58
Ti,EDS,K series,34.84,0.32043,34.3839,0.0574,18.47,,,,,TiO2,No,5/13/2025 18:15
Fe,EDS,K series,27.14,0.24668,28.6268,0.0725,13.1892,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,105.5995,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_86,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,10.35,0.05885,42.0519,0.2014,68.5174,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.04,0.00024,0.0568,0.0129,0.0549,,,,,Nepheline,No,9/24/2025 22:58
Si,EDS,K series,0.22,0.00118,0.2051,0.012,0.1903,,,,,Nepheline,No,9/24/2025 22:58
Ca,EDS,K series,0.04,0.00036,0.0347,0.0103,0.0226,,,,,Diopside,No,5/13/2025 18:15
Ti,EDS,K series,37.02,0.34051,36.6679,0.0591,19.9553,,,,,TiO2,No,5/13/2025 18:15
Mn,EDS,K series,0.91,0.00858,1.0371,0.0236,0.4921,,,,,MnO,No,4/30/2025 17:42
Fe,EDS,K series,21.72,0.19743,23.0678,0.0664,10.7675,,,,,Fayalite,No,9/24/2025 22:59
Total,,,,,103.1212,,100,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LRa02_grain_87,,,,,,,,,,,,,,
Element,Signal Type,Line,Apparent Concentration,k Ratio,Wt%,Wt% Sigma,Atomic %,Oxide,Oxide %,Oxide % Sigma,Number of Ions,Standard Name,Factory Standard,Standardization Date
O,EDS,K series,10.9,0.062,42.3462,0.1985,67.8303,,,,,hematite_elba,No,9/30/2025 17:52
Al,EDS,K series,0.05,0.00026,0.0614,0.0134,0.0583,,,,,Nepheline,No,9/24/2025 22:58
